surfaced_ts,score_display,final_score,classification,matched_capability_areas,layer_matched,out_of_scope_flagged,delivery_penalty_flag,source,notice_type,title,department,subtier,office,naics,psc,posted,response_deadline,pillar_customer,pillar_worktype,pillar_capability_area,pillar_scale,pillar_actionability,fingerprint,url
2026-06-02 13:06,10/10,1.016,customer_intel,mission_engineering,operator_team_layer,False,False,sam_gov,Presolicitation,6A1 Preventive Maintenance for Puget Sound Naval Shipyard (PSNS)Barge YR-85 and YR-95,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,2026-05-19,2026-06-02,0.85,1.0,0.33,0.5,0.4,SAM:369d3ff04b6541c98645bdf518d49813,https://sam.gov/workspace/contract/opp/369d3ff04b6541c98645bdf518d49813/view
2026-06-02 13:06,10/10,1.016,customer_intel,mission_engineering,operator_team_layer,False,False,sam_gov,Presolicitation,6A1 Corrective Maintenance for Puget Sound Naval Shipyard (PSNS) Barge YR-85 and YR-95,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC YOKOSUKA.NAVSUP FLT LOG CTR  YOKOSUKA,336611,J999,2026-05-05,2026-06-05,0.85,1.0,0.33,0.5,0.4,SAM:a8735794433e467896cd1a2c380b8ca6,https://sam.gov/workspace/contract/opp/a8735794433e467896cd1a2c380b8ca6/view
2026-06-02 13:06,6/10,0.641,low_match,,operator_team_layer,False,False,sam_gov,Sources Sought,Small Craft SME and Maintenance Tech Support Services,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC PEARL HARBOR.NAVSUP FLT LOG CTR PEARL HARBOR,541990,J019,2026-05-20,2026-06-03,0.0,0.9,0.21,0.5,1.0,SAM:959045a595254f168312f6f82ff1f216,https://sam.gov/workspace/contract/opp/959045a595254f168312f6f82ff1f216/view
2026-06-02 13:06,5/10,0.535,low_match,cyber,directional_caci_footprint,False,False,sam_gov,Sources Sought,"COMMANDER, NAVY REGION HAWAII REQUEST FOR INFORMATION (RFI) / SOURCES SOUGHT NOTICE LENEL ONGUARD ENTERPRISE SOFTWARE UPGRADE AND SUPPORT SERVICES",DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC PEARL HARBOR.NAVSUP FLT LOG CTR PEARL HARBOR,561621,N063,2026-05-19,2026-06-03,0.0,0.6,0.58,0.5,1.0,SAM:325daa4b7ec047d2b71b591c3db919de,https://sam.gov/workspace/contract/opp/325daa4b7ec047d2b71b591c3db919de/view
